,date,hour_min_count,min_count,hour_max_count,count,hour_min_price,min_price,hour,price
0,2009-01-01,6,0,12,13,6,0.0,14,86.35
1,2009-01-02,0,0,23,14,0,0.0,18,82.1
2,2009-01-03,6,0,0,19,6,0.0,22,109.75
3,2009-01-04,6,0,13,17,6,0.0,21,98.15
4,2009-01-05,2,0,9,10,2,0.0,10,56.3
5,2009-01-06,1,0,7,11,1,0.0,10,75.85
6,2009-01-07,5,0,19,20,5,0.0,19,136.65
7,2009-01-08,2,0,18,25,2,0.0,18,91.8
8,2009-01-09,5,0,8,12,5,0.0,8,95.2
9,2009-01-10,4,0,23,14,4,0.0,17,84.95
10,2009-01-11,6,0,13,13,6,0.0,11,100.9
11,2009-01-12,2,0,8,15,2,0.0,9,82.0
12,2009-01-13,2,0,18,21,2,0.0,21,127.9
13,2009-01-14,2,0,13,18,2,0.0,18,76.4
14,2009-01-15,1,0,8,11,1,0.0,8,95.39999999999999
15,2009-01-16,4,0,11,19,4,0.0,11,97.3
16,2009-01-17,6,0,22,24,6,0.0,21,97.25
17,2009-01-18,6,0,1,21,6,0.0,1,93.3
18,2009-01-19,2,0,14,19,2,0.0,16,80.95
19,2009-01-20,2,0,21,12,2,0.0,21,49.2
20,2009-01-21,1,0,18,17,1,0.0,18,105.15
21,2009-01-22,1,0,8,15,1,0.0,15,110.3
22,2009-01-23,5,0,22,18,5,0.0,18,91.5
23,2009-01-24,4,0,20,17,4,0.0,19,88.4
24,2009-01-25,5,1,18,17,8,5.3,21,72.5
25,2009-01-26,1,0,17,16,1,0.0,8,103.35
26,2009-01-27,1,0,19,20,1,0.0,21,112.25
27,2009-01-28,3,0,10,18,3,0.0,18,66.8
28,2009-01-29,3,0,18,15,3,0.0,1,131.8
29,2009-01-30,3,0,11,24,3,0.0,21,82.2
30,2009-01-31,5,0,23,19,5,0.0,23,116.4
31,2009-02-01,4,0,20,20,4,0.0,20,112.0
32,2009-02-02,1,0,0,11,1,0.0,18,104.55
33,2009-02-03,1,0,11,19,1,0.0,8,141.0
34,2009-02-04,1,0,20,15,1,0.0,18,66.2
35,2009-02-05,2,0,20,12,2,0.0,8,75.9
36,2009-02-06,5,0,19,21,5,0.0,16,103.4
37,2009-02-07,6,0,0,21,6,0.0,0,102.1
38,2009-02-08,5,0,20,13,5,0.0,1,96.9
39,2009-02-09,2,0,18,16,2,0.0,18,97.25
40,2009-02-10,1,0,22,16,1,0.0,18,83.85
41,2009-02-11,0,0,19,17,0,0.0,21,79.9
42,2009-02-12,1,0,22,18,1,0.0,22,93.3
43,2009-02-13,3,0,20,22,3,0.0,18,96.5
44,2009-02-14,6,0,2,19,6,0.0,23,101.89999999999999
45,2009-02-15,0,0,19,27,0,0.0,1,99.39999999999999
46,2009-02-16,5,0,16,12,5,0.0,16,87.9
47,2009-02-17,2,0,12,13,2,0.0,18,75.8
48,2009-02-18,2,0,8,16,2,0.0,15,104.5
49,2009-02-19,2,0,18,22,2,0.0,18,82.5
50,2009-02-20,22,0,19,26,22,0.0,19,107.3
51,2009-02-21,3,0,19,28,3,0.0,22,128.4
52,2009-02-22,6,0,13,14,6,0.0,13,90.55000000000001
53,2009-02-23,4,0,19,18,4,0.0,8,69.95
54,2009-02-24,2,0,8,14,2,0.0,20,86.05
55,2009-02-25,1,0,18,13,1,0.0,11,160.8
56,2009-02-26,4,0,20,22,4,0.0,20,186.65
57,2009-02-27,4,0,19,13,4,0.0,19,123.35
58,2009-02-28,6,0,14,17,6,0.0,22,74.6
59,2009-03-01,7,0,16,14,7,0.0,10,123.5
60,2009-03-02,6,0,2,10,6,0.0,17,56.05
61,2009-03-03,1,0,18,19,1,0.0,23,94.6
62,2009-03-04,1,0,18,18,1,0.0,8,82.75
63,2009-03-05,4,0,15,20,4,0.0,19,101.7
64,2009-03-06,5,0,12,14,5,0.0,20,92.60000000000001
65,2009-03-07,6,0,21,19,6,0.0,18,81.4
66,2009-03-08,5,0,18,13,5,0.0,0,82.19999999999999
67,2009-03-09,3,0,8,18,3,0.0,18,97.6
68,2009-03-10,1,0,16,18,1,0.0,11,152.7
69,2009-03-11,4,0,16,26,4,0.0,8,90.1
70,2009-03-12,1,0,18,25,1,0.0,21,134.05
71,2009-03-13,3,0,20,19,3,0.0,22,137.4
72,2009-03-14,12,0,2,16,12,0.0,15,113.2
73,2009-03-15,5,0,14,15,5,0.0,4,91.65
74,2009-03-16,0,0,8,27,0,0.0,17,132.4
75,2009-03-17,0,0,19,16,0,0.0,18,94.75
76,2009-03-18,2,0,21,18,2,0.0,21,95.6
77,2009-03-19,2,0,9,24,2,0.0,20,142.8
78,2009-03-20,3,0,17,20,3,0.0,19,119.95
79,2009-03-21,4,0,20,21,4,0.0,20,99.3
80,2009-03-22,4,0,21,17,4,0.0,21,75.8
81,2009-03-23,1,0,18,12,1,0.0,19,126.0
82,2009-03-24,4,0,8,12,4,0.0,11,121.80000000000001
83,2009-03-25,4,0,18,23,4,0.0,21,125.35
84,2009-03-26,0,0,7,16,0,0.0,21,89.6
85,2009-03-27,2,0,22,27,2,0.0,22,124.2
86,2009-03-28,4,0,13,25,4,0.0,15,99.75
87,2009-03-29,5,0,13,19,5,0.0,23,167.3
88,2009-03-30,1,0,19,13,1,0.0,21,85.85000000000001
89,2009-03-31,3,0,22,17,3,0.0,22,92.25
90,2009-04-01,2,0,18,14,2,0.0,19,81.2
91,2009-04-02,0,0,10,11,0,0.0,23,125.19999999999999
92,2009-04-03,1,0,23,19,1,0.0,19,167.0
93,2009-04-04,5,0,19,23,5,0.0,19,131.15
94,2009-04-05,6,0,14,16,6,0.0,15,105.95
95,2009-04-06,1,0,8,18,1,0.0,21,80.95
96,2009-04-07,2,0,18,18,2,0.0,23,84.8
97,2009-04-08,4,0,19,27,4,0.0,8,91.3
98,2009-04-09,4,0,11,16,4,0.0,16,122.55
99,2009-04-10,2,0,22,19,2,0.0,16,112.7
100,2009-04-11,4,0,1,15,4,0.0,14,91.95
101,2009-04-12,6,0,0,27,6,0.0,12,79.85
102,2009-04-13,1,0,21,12,1,0.0,14,69.35
103,2009-04-14,3,0,21,15,3,0.0,19,99.25000000000001
104,2009-04-15,3,0,16,15,3,0.0,20,80.1
105,2009-04-16,3,0,8,18,3,0.0,19,108.0
106,2009-04-17,3,0,19,15,3,0.0,15,97.25
107,2009-04-18,5,1,22,19,15,5.3,14,123.35
108,2009-04-19,5,0,19,23,5,0.0,19,130.75
109,2009-04-20,0,0,19,15,0,0.0,9,109.89999999999999
110,2009-04-21,1,0,19,14,1,0.0,12,90.8
111,2009-04-22,0,0,23,16,0,0.0,13,110.3
112,2009-04-23,4,0,7,15,4,0.0,20,98.1
113,2009-04-24,3,0,19,26,3,0.0,19,103.7
114,2009-04-25,5,1,18,16,5,2.9,1,102.60000000000001
115,2009-04-26,4,0,0,22,4,0.0,0,97.89999999999999
116,2009-04-27,3,0,23,8,3,0.0,11,65.05000000000001
117,2009-04-28,4,0,14,14,4,0.0,14,156.0
118,2009-04-29,5,0,20,18,5,0.0,13,127.75
119,2009-04-30,1,0,14,27,1,0.0,14,207.15
120,2009-05-01,1,0,10,13,1,0.0,14,137.0
121,2009-05-02,8,0,23,19,8,0.0,1,97.0
122,2009-05-03,5,0,2,14,5,0.0,3,126.9
123,2009-05-04,0,0,19,10,0,0.0,14,90.0
124,2009-05-05,3,0,10,19,3,0.0,21,175.1
125,2009-05-06,2,1,8,18,2,2.5,14,69.55
126,2009-05-07,5,0,12,16,5,0.0,12,100.7
127,2009-05-08,2,0,22,19,2,0.0,18,115.10000000000001
128,2009-05-09,5,0,17,19,5,0.0,20,92.2
129,2009-05-10,5,0,18,15,5,0.0,18,101.45
130,2009-05-11,0,0,18,26,0,0.0,15,111.89999999999999
131,2009-05-12,1,0,22,16,1,0.0,7,77.4
132,2009-05-13,3,0,17,15,3,0.0,15,93.0
133,2009-05-14,5,0,17,16,5,0.0,6,94.15
134,2009-05-15,2,0,19,17,2,0.0,10,95.15
135,2009-05-16,5,0,15,23,5,0.0,19,131.25
136,2009-05-17,5,1,1,19,5,4.5,2,92.6
137,2009-05-18,3,0,20,17,3,0.0,20,134.65
138,2009-05-19,1,0,22,14,1,0.0,14,85.95
139,2009-05-20,2,0,10,17,2,0.0,9,91.6
140,2009-05-21,4,0,18,20,4,0.0,16,129.55
141,2009-05-22,5,0,14,14,5,0.0,22,103.75
142,2009-05-23,5,0,15,15,5,0.0,2,63.6
143,2009-05-24,4,0,14,14,4,0.0,14,136.55
144,2009-05-25,2,0,14,16,2,0.0,20,89.3
145,2009-05-26,1,0,20,13,1,0.0,13,83.95
146,2009-05-27,1,0,22,11,1,0.0,12,68.2
147,2009-05-28,3,0,19,16,3,0.0,19,107.3
148,2009-05-29,2,1,22,17,18,3.7,22,107.95
149,2009-05-30,6,0,22,26,6,0.0,22,105.10000000000001
150,2009-05-31,4,0,3,14,4,0.0,20,105.2
151,2009-06-01,1,0,19,13,1,0.0,23,72.30000000000001
152,2009-06-02,2,0,18,16,2,0.0,18,105.35000000000001
153,2009-06-03,2,0,21,14,2,0.0,12,101.9
154,2009-06-04,2,0,9,14,2,0.0,16,111.95
155,2009-06-05,4,0,15,18,4,0.0,14,102.95
156,2009-06-06,2,1,18,16,2,4.5,23,99.25
157,2009-06-07,3,0,0,15,3,0.0,2,74.9
158,2009-06-08,3,0,7,11,3,0.0,9,68.7
159,2009-06-09,2,0,18,20,2,0.0,20,100.7
160,2009-06-10,5,0,16,21,5,0.0,17,124.05
161,2009-06-11,1,0,20,13,1,0.0,9,83.2
162,2009-06-12,3,0,23,18,3,0.0,9,90.05
163,2009-06-13,5,0,0,18,5,0.0,10,81.6
164,2009-06-14,5,0,18,20,5,0.0,16,119.4
165,2009-06-15,2,0,23,16,2,0.0,8,72.6
166,2009-06-16,3,0,11,14,3,0.0,11,99.2
